iter	RMSE
0	24.81756079
1	22.50390424
2	20.38308496
3	18.49488629
4	16.75560394
5	15.23098198
6	13.84219409
7	12.58949651
8	11.42441557
9	10.40463583
10	9.460553267
11	8.600705114
12	7.817569553
13	7.125220285
14	6.49378355
15	5.919683676
16	5.407262523
17	4.948239806
18	4.523189441
19	4.146610829
20	3.804398077
21	3.479437578
22	3.203606363
23	2.953040204
24	2.714052916
25	2.503039623
26	2.310829381
27	2.135128626
28	1.976760361
29	1.839121019
30	1.709336359
31	1.59641034
32	1.48571392
33	1.395230172
34	1.303264321
35	1.228802477
36	1.161715374
37	1.101201191
38	1.041604757
39	0.9886412
40	0.9425572869
41	0.9068008232
42	0.8706230948
43	0.8384592524
44	0.8105482938
45	0.7849344524
46	0.7641804167
47	0.744743339
48	0.7266170964
49	0.7113386682
50	0.6971246966
51	0.6842847178
52	0.6732246198
53	0.6631415992
54	0.6550639435
55	0.6468124276
56	0.6396443812
57	0.6340754342
58	0.6273062988
59	0.6225114953
60	0.6173151792
61	0.6129858528
62	0.6076337336
63	0.6029931608
64	0.5978854625
65	0.5931701799
66	0.5895387346
67	0.5857376409
68	0.5831377141
69	0.5795474997
70	0.5737948605
71	0.5687634309
72	0.5662061873
73	0.5631927973
74	0.5581652592
75	0.5561878533
76	0.5516242867
77	0.5500509868
78	0.5480816849
79	0.5463987294
80	0.54555187
81	0.5439398643
82	0.538977134
83	0.5358088408
84	0.5333013765
85	0.5306635688
86	0.5246185438
87	0.5213778888
88	0.5195298307
89	0.5172688908
90	0.5138549497
91	0.5116393656
92	0.5062999942
93	0.5031423259
94	0.5012700932
95	0.5001683644
96	0.4958602214
97	0.4918169969
98	0.4886556873
99	0.4868341145
100	0.485138604
101	0.4829740635
102	0.480367908
103	0.477657526
104	0.4749721292
105	0.4730819773
106	0.4721904835
107	0.4697274853
108	0.4681165148
109	0.4663856355
110	0.4635506548
111	0.4602308053
112	0.4591931313
113	0.4577741491
114	0.4550233155
115	0.4531266125
116	0.4509339907
117	0.4489938171
118	0.4482704595
119	0.4460598689
120	0.443641314
121	0.442292587
122	0.4413338298
123	0.43661192
124	0.4356195242
125	0.4337082817
126	0.4309934253
127	0.4289901931
128	0.4276176916
129	0.4251935907
130	0.4233156808
131	0.421790139
132	0.4204972043
133	0.4182087005
134	0.4159949666
135	0.4148621225
136	0.4132076982
137	0.4122965515
138	0.4109932972
139	0.4087289247
140	0.4076324471
141	0.4069316
142	0.4051620587
143	0.4022960858
144	0.4009193243
145	0.3992787697
146	0.3967125018
147	0.3946042257
148	0.3937536939
149	0.3928655748
150	0.3919338544
151	0.3908315318
152	0.3890857572
153	0.388332646
154	0.386485174
155	0.3849484578
156	0.3829824664
157	0.3815208562
158	0.3807238136
159	0.3796969586
160	0.3787357055
161	0.3777191242
162	0.3756045468
163	0.3748628665
164	0.3738572626
165	0.3722073397
166	0.3714079929
167	0.370332134
168	0.3696313303
169	0.3688863482
170	0.3679682268
171	0.3663030821
172	0.3651812044
173	0.3634575391
174	0.3624619668
175	0.3610658152
176	0.3605134509
177	0.3588974826
178	0.3580823625
179	0.356618987
180	0.3563391125
181	0.3557142583
182	0.354634935
183	0.3543915826
184	0.3537621221
185	0.3524757652
186	0.3510262612
187	0.3503363832
188	0.34972795
189	0.3488599313
190	0.3478676688
191	0.3475386675
192	0.3471249307
193	0.3469340749
