iter	Passed	Remaining
0	106	53048
1	110	27560
2	114	18957
3	119	14828
4	123	12263
5	127	10518
6	131	9268
7	135	8340
8	139	7613
9	143	7014
10	146	6523
11	150	6115
12	154	5773
13	158	5494
14	161	5234
15	165	5007
16	169	4810
17	173	4636
18	176	4475
19	180	4325
20	183	4191
21	187	4079
22	191	3970
23	194	3866
24	198	3769
25	202	3692
26	206	3612
27	210	3540
28	213	3471
29	217	3411
30	222	3359
31	226	3306
32	231	3275
33	235	3231
34	239	3187
35	243	3138
36	247	3096
37	251	3056
38	255	3014
39	258	2976
40	262	2937
41	266	2902
42	269	2866
43	273	2831
44	276	2799
45	280	2771
46	284	2740
47	287	2711
48	291	2683
49	295	2658
50	299	2632
51	302	2607
52	306	2583
53	310	2561
54	313	2539
55	317	2517
56	321	2495
57	324	2476
58	328	2458
59	332	2438
60	336	2420
61	340	2402
62	343	2385
63	347	2368
64	351	2352
65	355	2335
66	359	2320
67	362	2305
68	367	2292
69	370	2278
70	374	2264
71	378	2250
72	382	2236
73	386	2222
74	390	2211
75	394	2199
76	398	2190
77	402	2176
78	405	2163
79	409	2151
80	413	2139
81	417	2126
82	420	2113
83	424	2102
84	428	2090
85	431	2079
86	435	2068
87	439	2057
88	443	2046
89	446	2036
90	450	2025
91	454	2014
92	458	2004
93	461	1995
94	465	1984
95	469	1974
96	472	1964
97	476	1954
98	480	1944
99	483	1934
100	487	1925
101	490	1915
102	494	1905
103	497	1895
104	501	1886
105	504	1876
106	508	1867
107	511	1858
108	515	1848
109	519	1840
110	522	1832
111	526	1823
112	530	1815
113	533	1806
114	537	1798
115	540	1790
116	544	1781
117	547	1773
118	551	1765
119	555	1757
120	558	1750
121	562	1742
122	566	1735
123	569	1727
124	575	1726
125	578	1718
126	582	1711
127	586	1704
128	590	1697
129	593	1690
130	597	1683
131	601	1675
132	604	1668
133	608	1661
134	611	1654
135	615	1647
136	619	1640
137	622	1633
138	626	1627
139	630	1621
140	634	1614
141	637	1608
142	641	1601
143	645	1594
144	648	1588
145	652	1581
146	655	1574
147	659	1568
148	663	1561
149	669	1561
150	672	1554
151	676	1549
152	680	1543
153	684	1536
154	687	1530
155	691	1523
156	695	1518
157	698	1512
158	702	1506
159	705	1499
160	709	1494
161	713	1487
162	716	1481
163	720	1476
164	724	1471
165	728	1465
166	732	1459
167	735	1453
168	739	1448
169	742	1442
170	746	1435
171	749	1430
172	753	1424
173	757	1418
174	760	1412
175	764	1406
176	767	1400
177	771	1394
178	774	1389
179	778	1383
180	781	1377
181	785	1372
182	788	1366
183	792	1361
184	796	1355
185	799	1349
186	803	1344
187	806	1338
188	810	1333
189	813	1327
190	817	1321
191	820	1316
192	824	1310
193	827	1305
194	831	1300
195	834	1294
196	838	1289
197	841	1284
198	845	1278
199	849	1273
200	852	1268
201	856	1263
202	859	1257
203	863	1252
204	867	1247
205	870	1242
206	874	1237
207	877	1232
208	881	1227
209	885	1222
210	888	1217
211	892	1212
212	895	1206
213	899	1202
214	903	1197
215	906	1192
216	910	1187
217	914	1182
218	917	1177
219	921	1172
220	925	1168
221	928	1163
222	932	1158
223	936	1153
224	940	1148
225	943	1144
226	947	1139
227	951	1134
228	954	1129
229	958	1125
230	962	1120
231	966	1116
232	969	1111
233	973	1106
234	977	1102
235	981	1097
236	984	1092
237	988	1088
238	992	1083
239	995	1078
240	999	1073
241	1002	1069
242	1006	1064
243	1010	1059
244	1013	1055
245	1017	1050
246	1021	1045
247	1024	1041
248	1028	1036
249	1032	1032
250	1035	1027
251	1039	1022
252	1042	1018
253	1046	1013
254	1049	1008
255	1053	1003
256	1056	999
257	1060	994
258	1064	990
259	1067	985
260	1071	980
261	1074	976
262	1078	971
263	1082	967
264	1086	963
265	1090	959
266	1093	954
267	1097	950
268	1101	945
269	1104	941
270	1108	936
271	1111	931
272	1115	927
273	1118	922
274	1122	918
275	1125	913
276	1129	909
277	1133	904
278	1136	900
279	1139	895
280	1143	891
281	1147	886
282	1150	882
283	1154	877
284	1157	873
285	1161	869
286	1165	864
287	1168	860
288	1172	856
289	1176	851
290	1180	847
291	1183	843
292	1187	838
293	1191	834
294	1194	830
295	1198	825
296	1202	821
297	1205	817
298	1209	812
299	1213	808
300	1216	804
301	1220	800
302	1223	795
303	1227	791
304	1231	787
305	1234	782
306	1238	778
307	1241	774
308	1245	769
309	1249	765
310	1255	762
311	1258	758
312	1262	754
313	1265	749
314	1269	745
315	1274	741
316	1277	737
317	1281	733
318	1284	728
319	1288	724
320	1291	720
321	1295	716
322	1298	711
323	1302	707
324	1305	703
325	1309	698
326	1312	694
327	1316	690
328	1319	685
329	1323	681
330	1326	677
331	1330	673
332	1333	668
333	1337	664
334	1341	660
335	1344	656
336	1348	652
337	1351	647
338	1355	643
339	1358	639
340	1362	635
341	1366	631
342	1369	627
343	1373	622
344	1376	618
345	1380	614
346	1384	610
347	1388	606
348	1391	602
349	1395	597
350	1398	593
351	1402	589
352	1405	585
353	1409	581
354	1412	577
355	1416	573
356	1420	568
357	1423	564
358	1427	560
359	1430	556
360	1434	552
361	1437	548
362	1441	543
363	1444	539
364	1448	535
365	1451	531
366	1455	527
367	1459	523
368	1463	519
369	1467	515
370	1470	511
371	1474	507
372	1477	503
373	1481	499
374	1485	495
375	1488	490
376	1492	486
377	1495	482
378	1499	478
379	1503	474
380	1506	470
381	1510	466
382	1514	462
383	1517	458
384	1521	454
385	1525	450
386	1528	446
387	1532	442
388	1535	438
389	1539	434
390	1542	430
391	1546	426
392	1550	422
393	1553	417
394	1556	413
395	1560	409
396	1564	405
397	1568	401
398	1571	397
399	1575	393
400	1578	389
401	1582	385
402	1586	381
403	1589	377
404	1593	373
405	1597	369
406	1600	365
407	1604	361
408	1607	357
409	1611	353
410	1614	349
411	1618	345
412	1622	341
413	1625	337
414	1629	333
415	1633	329
416	1636	325
417	1640	321
418	1643	317
419	1647	313
420	1650	309
421	1654	305
422	1658	301
423	1661	297
424	1665	293
425	1668	289
426	1672	285
427	1676	282
428	1680	278
429	1684	274
430	1688	270
431	1692	266
432	1695	262
433	1699	258
434	1703	254
435	1706	250
436	1711	246
437	1715	242
438	1719	238
439	1723	235
440	1727	231
441	1730	227
442	1734	223
443	1738	219
444	1742	215
445	1745	211
446	1749	207
447	1753	203
448	1757	199
449	1760	195
450	1764	191
451	1768	187
452	1772	183
453	1775	179
454	1779	175
455	1783	172
456	1786	168
457	1790	164
458	1794	160
459	1798	156
460	1802	152
461	1806	148
462	1809	144
463	1813	140
464	1816	136
465	1820	132
466	1824	128
467	1828	124
468	1831	121
469	1835	117
470	1839	113
471	1842	109
472	1846	105
473	1850	101
474	1853	97
475	1857	93
476	1860	89
477	1864	85
478	1868	81
479	1871	77
480	1875	74
481	1878	70
482	1882	66
483	1885	62
484	1889	58
485	1892	54
486	1896	50
