latitude,longitude,data_pas,satelite,pais,estado,municipio,bioma,numero_dias_sem_chuva,precipitacao,risco_fogo,id_area_industrial,frp
4.27167,-60.69947,2024-01-02 02:06:00,TERRA_M-M,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,14.4
-9.55578,-35.70564,2024-01-02 04:08:00,NPP-375D,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,0.4
-9.55515,-35.71013,2024-01-02 04:08:00,NPP-375D,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,2.7
-7.36323,-39.94515,2024-01-02 04:08:00,NPP-375D,Brasil,PERNAMBUCO,BODOCÓ,Caatinga,7.0,1.32,0.54,0,2.1
-3.51178,-40.13655,2024-01-02 04:06:00,NPP-375D,Brasil,CEARÁ,SANTANA DO ACARAÚ,Caatinga,3.0,3.38,0.0,0,1.0
-21.89247,-46.96316,2024-01-02 04:12:00,NPP-375D,Brasil,SÃO PAULO,VARGEM GRANDE DO SUL,Cerrado,0.0,0.67,0.19,0,0.9
-21.88905,-46.96251,2024-01-02 04:12:00,NPP-375D,Brasil,SÃO PAULO,VARGEM GRANDE DO SUL,Cerrado,0.0,0.64,0.19,0,0.6
-22.05377,-47.90611,2024-01-02 04:12:00,NPP-375D,Brasil,SÃO PAULO,SÃO CARLOS,Cerrado,0.0,0.0,-999.0,0,1.9
-23.98517,-48.91628,2024-01-02 04:12:00,NPP-375D,Brasil,SÃO PAULO,ITAPEVA,Cerrado,2.0,0.1,0.51,0,1.3
-24.59087,-50.27445,2024-01-02 04:12:00,NPP-375D,Brasil,PARANÁ,TIBAGI,Cerrado,5.0,0.13,0.73,0,1.1
-24.58964,-50.27047,2024-01-02 04:12:00,NPP-375D,Brasil,PARANÁ,TIBAGI,Cerrado,4.0,0.1,0.73,0,2.4
-24.58865,-50.27563,2024-01-02 04:12:00,NPP-375D,Brasil,PARANÁ,TIBAGI,Cerrado,4.0,0.12,0.73,0,2.3
-24.58708,-50.27361,2024-01-02 04:12:00,NPP-375D,Brasil,PARANÁ,TIBAGI,Cerrado,4.0,0.11,0.73,0,3.3
4.11024,-61.2848,2024-01-02 06:24:00,AQUA_M-M,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,10.8
4.11404,-61.28989,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,3.1
4.11392,-61.28817,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,2.5
4.11336,-61.2857,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,2.0
4.11041,-61.29045,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,3.1
4.11028,-61.28873,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,5.6
2.96004,-60.87586,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,BOA VISTA,Amazônia,10.0,0.0,1.0,0,2.9
2.95926,-60.87381,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,BOA VISTA,Amazônia,10.0,0.0,1.0,0,3.8
1.10558,-59.48207,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.17,0,2.0
0.82991,-60.5826,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.09,0,1.2
0.82595,-60.58322,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.09,0,0.6
0.69969,-60.41245,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.28,0,1.5
0.69622,-60.41654,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.66,0,1.5
0.69568,-60.41309,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.42,0,1.5
0.66967,-59.53428,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.01,0,3.4
0.66905,-59.53036,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.01,0,2.1
0.25665,-60.41735,2024-01-02 05:46:00,NPP-375D,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.05,0,4.5
-2.26754,-53.78008,2024-01-02 05:46:00,NPP-375D,Brasil,PARÁ,PRAINHA,Amazônia,0.0,10.11,0.02,0,2.2
-2.26675,-53.78535,2024-01-02 05:46:00,NPP-375D,Brasil,PARÁ,PRAINHA,Amazônia,0.0,10.24,0.01,0,3.4
-9.04687,-35.69659,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,MATRIZ DE CAMARAGIBE,Mata Atlântica,11.0,0.0,0.96,0,0.8
-9.91926,-36.00476,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica,-999.0,0.0,1.0,0,1.9
-9.91489,-36.00393,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica,-999.0,0.0,1.0,0,1.9
-9.91413,-36.00822,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica,-999.0,0.0,1.0,0,2.5
-9.91052,-36.00312,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,ROTEIRO,Mata Atlântica,-999.0,0.0,1.0,0,1.3
-9.55495,-35.70912,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,1.4
-9.55423,-35.71324,2024-01-02 03:19:00,NOAA-20,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,1.5
-16.18356,-39.19807,2024-01-02 03:19:00,NOAA-20,Brasil,BAHIA,SANTA CRUZ CABRÁLIA,Mata Atlântica,0.0,7.14,0.08,0,2.3
-14.26991,-39.48672,2024-01-02 03:19:00,NOAA-20,Brasil,BAHIA,UBAITABA,Mata Atlântica,2.0,0.0,1.0,0,0.5
-14.26935,-39.48957,2024-01-02 03:19:00,NOAA-20,Brasil,BAHIA,UBAITABA,Mata Atlântica,2.0,0.0,1.0,0,0.5
-14.26479,-39.48572,2024-01-02 03:19:00,NOAA-20,Brasil,BAHIA,UBAITABA,Mata Atlântica,2.0,0.0,1.0,0,0.6
-24.58625,-50.27448,2024-01-02 05:01:00,NOAA-20,Brasil,PARANÁ,TIBAGI,Cerrado,4.0,0.11,0.73,0,3.3
-3.96161,-50.77037,2024-01-02 04:57:00,NOAA-20,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,0.0,3.86,0.01,0,1.2
-1.746,-52.81453,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PORTO DE MOZ,Amazônia,1.0,0.7,0.51,0,0.6
-1.7354,-53.22747,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,0.0,2.96,0.17,0,1.3
-1.71839,-53.24943,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,0.0,1.69,0.05,0,1.1
-1.71785,-53.25286,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,0.0,1.64,0.05,0,0.8
-1.71341,-53.23811,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,0.0,2.52,0.07,0,1.6
-1.71064,-53.23416,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,0.0,2.78,0.1,0,0.8
-0.76803,-52.50943,2024-01-02 04:55:00,NOAA-20,Brasil,AMAPÁ,LARANJAL DO JARI,Amazônia,1.0,1.96,0.01,0,0.8
-0.76749,-52.51286,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,1.0,2.04,0.01,0,1.5
-0.76472,-52.50891,2024-01-02 04:55:00,NOAA-20,Brasil,AMAPÁ,LARANJAL DO JARI,Amazônia,1.0,1.98,0.01,0,0.8
-0.76418,-52.51234,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALMEIRIM,Amazônia,1.0,2.05,0.01,0,1.5
-3.18517,-53.27598,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MEDICILÂNDIA,Amazônia,1.0,1.26,0.07,0,0.8
-3.18463,-53.27942,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MEDICILÂNDIA,Amazônia,1.0,1.29,0.07,0,0.7
-3.18409,-53.28286,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MEDICILÂNDIA,Amazônia,1.0,1.28,0.07,0,0.7
-2.15252,-53.44762,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,8.36,0.27,0,0.5
-2.15197,-53.45106,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,8.21,0.34,0,0.5
-2.04181,-54.21425,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,9.84,0.03,0,1.2
-1.75263,-54.42954,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,ALENQUER,Amazônia,0.0,4.45,0.06,0,1.2
-1.40444,-53.92525,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,1.45,0.37,0,1.1
-1.25418,-54.10205,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,2.53,0.02,0,1.3
-2.98647,-53.86812,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,URUARÁ,Amazônia,0.0,8.71,0.01,0,1.6
-2.49648,-54.15344,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,13.96,0.0,0,1.4
-2.26945,-53.78373,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,10.3,0.01,0,2.0
-2.26668,-53.77976,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,10.07,0.02,0,2.1
-2.26613,-53.78322,2024-01-02 04:55:00,NOAA-20,Brasil,PARÁ,PRAINHA,Amazônia,0.0,10.15,0.02,0,2.1
1.10841,-59.48089,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.17,0,1.7
0.81203,-60.1842,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,SÃO LUIZ,Amazônia,2.0,0.0,0.23,0,0.9
0.70127,-60.4164,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.36,0,2.9
0.70041,-60.41096,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.2,0,2.4
0.67091,-59.53463,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.01,0,3.2
0.67017,-59.52991,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,CAROEBE,Amazônia,2.0,0.0,0.01,0,1.7
0.26091,-60.42043,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.14,0,1.5
0.26007,-60.41505,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.12,0,1.5
0.25607,-60.42123,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.07,0,2.3
4.27774,-60.71538,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,2.6
4.27728,-60.71216,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,2.6
4.27681,-60.70893,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,1.7
4.27538,-60.69917,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,3.0
4.27492,-60.69594,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,2.2
4.27191,-60.71226,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,2.6
4.27146,-60.70914,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,1.7
4.26924,-60.69385,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,PACARAIMA,Amazônia,7.0,0.0,1.0,0,2.2
4.11399,-61.29333,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,1.6
4.11348,-61.28975,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,AMAJARI,Amazônia,7.0,0.0,1.0,0,1.7
0.83042,-60.58655,2024-01-02 04:55:00,NOAA-20,Brasil,RORAIMA,RORAINÓPOLIS,Amazônia,3.0,0.0,0.09,0,2.2
-9.47009,-35.93213,2024-01-02 12:48:00,TERRA_M-T,Brasil,ALAGOAS,RIO LARGO,Mata Atlântica,-999.0,0.0,1.0,0,30.9
-5.47699,-36.43069,2024-01-02 12:48:00,TERRA_M-T,Brasil,RIO GRANDE DO NORTE,PEDRO AVELINO,Caatinga,2.0,0.75,0.11,0,33.8
-4.55109,-38.23961,2024-01-02 12:48:00,TERRA_M-T,Brasil,CEARÁ,BEBERIBE,Caatinga,4.0,13.19,0.0,0,55.6
-14.24,-40.19043,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,BOA NOVA,Mata Atlântica,11.0,0.0,0.77,0,29.9
-14.23806,-39.74652,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,ITAGIBÁ,Mata Atlântica,10.0,0.0,1.0,0,20.4
-14.23587,-39.76493,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,ITAGIBÁ,Mata Atlântica,10.0,0.0,1.0,0,48.4
-14.23392,-40.18335,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,BOA NOVA,Mata Atlântica,11.0,0.0,0.51,0,20.6
-13.73898,-39.89729,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,JEQUIÉ,Mata Atlântica,11.0,0.15,1.0,0,15.5
-6.05349,-39.49822,2024-01-02 12:48:00,TERRA_M-T,Brasil,CEARÁ,ACOPIARA,Caatinga,0.0,0.0,0.02,0,12.2
-11.6195,-40.49251,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,MIGUEL CALMON,Caatinga,1.0,1.16,0.64,0,15.9
-11.15108,-40.73492,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,JACOBINA,Caatinga,0.0,1.95,0.49,0,18.7
-11.14925,-40.74852,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,JACOBINA,Caatinga,0.0,2.09,0.72,0,46.2
-11.14321,-40.73972,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,JACOBINA,Caatinga,0.0,2.0,0.88,0,22.9
-4.76421,-42.43833,2024-01-02 12:48:00,TERRA_M-T,Brasil,PIAUÍ,JOSÉ DE FREITAS,Caatinga,2.0,6.16,0.0,0,5.4
-3.75836,-42.25198,2024-01-02 12:48:00,TERRA_M-T,Brasil,PIAUÍ,MORRO DO CHAPÉU DO PIAUÍ,Caatinga,0.0,19.8,0.0,0,9.3
-13.40912,-46.09784,2024-01-02 12:50:00,TERRA_M-T,Brasil,BAHIA,CORRENTINA,Cerrado,4.0,34.69,0.0,0,25.1
3.57354,-60.09543,2024-01-02 14:24:00,TERRA_M-T,Brasil,RORAIMA,NORMANDIA,Amazônia,7.0,0.0,1.0,0,23.9
2.68554,-60.55609,2024-01-02 14:24:00,TERRA_M-T,Brasil,RORAIMA,CANTÁ,Amazônia,10.0,0.0,0.9,0,31.4
2.68474,-60.55064,2024-01-02 14:24:00,TERRA_M-T,Brasil,RORAIMA,CANTÁ,Amazônia,10.0,0.0,0.9,0,42.0
1.72959,-60.65698,2024-01-02 14:24:00,TERRA_M-T,Brasil,RORAIMA,CARACARAÍ,Amazônia,2.0,0.0,0.63,0,37.6
-3.35459,-64.72105,2024-01-02 14:26:00,TERRA_M-T,Brasil,AMAZONAS,TEFÉ,Amazônia,0.0,0.1,-999.0,0,7.8
-9.06921,-35.34264,2024-01-02 15:03:00,NPP-375,Brasil,ALAGOAS,PORTO CALVO,Mata Atlântica,-999.0,0.0,1.0,0,8.9
-2.5179,-66.08881,2024-01-02 14:26:00,TERRA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,0.0,1.05,-999.0,0,6.4
-9.55393,-35.70986,2024-01-02 15:03:00,NPP-375,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,5.7
-9.41291,-36.83989,2024-01-02 15:03:00,NPP-375,Brasil,ALAGOAS,CACIMBINHAS,Caatinga,10.0,1.96,1.0,0,15.5
-9.41067,-36.84117,2024-01-02 15:03:00,NPP-375,Brasil,ALAGOAS,CACIMBINHAS,Caatinga,10.0,1.93,1.0,0,23.1
-9.40567,-36.84066,2024-01-02 15:03:00,NPP-375,Brasil,ALAGOAS,CACIMBINHAS,Caatinga,10.0,1.82,1.0,0,22.6
-9.14734,-36.93702,2024-01-02 15:03:00,NPP-375,Brasil,PERNAMBUCO,IATI,Caatinga,10.0,2.32,1.0,0,9.1
-7.52043,-35.22478,2024-01-02 15:03:00,NPP-375,Brasil,PERNAMBUCO,TIMBAÚBA,Mata Atlântica,0.0,0.0,0.12,0,7.1
-7.51545,-35.22548,2024-01-02 15:03:00,NPP-375,Brasil,PERNAMBUCO,FERREIROS,Mata Atlântica,0.0,0.0,0.11,0,7.5
-6.38118,-37.68135,2024-01-02 15:03:00,NPP-375,Brasil,PARAÍBA,CATOLÉ DO ROCHA,Caatinga,0.0,0.0,0.0,0,3.3
-6.38035,-37.68188,2024-01-02 15:03:00,NPP-375,Brasil,PARAÍBA,CATOLÉ DO ROCHA,Caatinga,0.0,0.0,0.0,0,5.3
-10.06567,-36.56051,2024-01-02 15:01:00,NPP-375,Brasil,ALAGOAS,IGREJA NOVA,Mata Atlântica,11.0,0.0,1.0,0,10.1
-9.91841,-36.49752,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,SÃO SEBASTIÃO,Mata Atlântica,10.0,0.0,1.0,0,2.7
-9.91788,-36.49397,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,SÃO SEBASTIÃO,Mata Atlântica,11.0,0.0,1.0,0,2.7
-9.78785,-36.89302,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,GIRAU DO PONCIANO,Caatinga,11.0,0.0,1.0,0,13.8
-9.55859,-35.70491,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,2.5
-9.55528,-35.70541,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,5.3
-9.55249,-35.70941,2024-01-02 15:52:00,NOAA-20,Brasil,ALAGOAS,MACEIÓ,Mata Atlântica,-999.0,0.0,1.0,0,9.1
-9.27857,-37.13734,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,SANTANA DO IPANEMA,Caatinga,11.0,0.07,1.0,0,7.9
-9.23265,-36.46981,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,LAGOA DO OURO,Mata Atlântica,11.0,0.0,1.0,0,2.5
-9.21877,-36.03794,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,BRANQUINHA,Mata Atlântica,11.0,0.3,1.0,0,2.7
-9.21459,-36.57756,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,BOM CONSELHO,Caatinga,10.0,0.0,1.0,0,7.0
-9.15265,-36.93829,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,IATI,Caatinga,10.0,2.38,1.0,0,37.0
-9.09375,-35.2583,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,JAPARATINGA,Mata Atlântica,-999.0,0.0,-999.0,0,0.9
-9.0848,-37.05081,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,ÁGUAS BELAS,Caatinga,10.0,0.7,0.86,0,9.3
-9.07233,-35.34018,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,PORTO CALVO,Mata Atlântica,-999.0,0.0,1.0,0,2.5
-9.06774,-35.46574,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,PORTO CALVO,Mata Atlântica,-999.0,0.0,1.0,0,9.1
-9.02191,-35.27655,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,-999.0,0.0,1.0,0,1.6
-8.98563,-35.28286,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,-999.0,0.0,0.99,0,5.4
-8.93208,-35.17671,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,11.0,0.0,1.0,0,1.8
-8.89915,-35.24981,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica,11.0,0.0,0.65,0,3.4
-8.89823,-36.97691,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,ÁGUAS BELAS,Caatinga,6.0,0.17,1.0,0,2.6
-8.85245,-35.58904,2024-01-02 15:54:00,NOAA-20,Brasil,ALAGOAS,NOVO LINO,Mata Atlântica,11.0,0.0,1.0,0,3.5
-8.83454,-35.24944,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,BARREIROS,Mata Atlântica,11.0,0.0,1.0,0,3.1
-8.247,-35.00272,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,CABO DE SANTO AGOSTINHO,Mata Atlântica,-999.0,0.0,-999.0,0,3.1
-8.0174,-39.22152,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,SALGUEIRO,Caatinga,0.0,0.0,0.51,0,6.4
-7.95073,-36.9006,2024-01-02 15:54:00,NOAA-20,Brasil,PARAÍBA,CAMALAÚ,Caatinga,0.0,0.0,0.0,0,5.3
-7.66522,-34.90741,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,GOIANA,Mata Atlântica,-999.0,0.0,0.98,0,2.4
-7.66187,-34.90793,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,GOIANA,Mata Atlântica,-999.0,0.0,0.98,0,5.0
-7.55108,-35.1106,2024-01-02 15:54:00,NOAA-20,Brasil,PERNAMBUCO,ALIANÇA,Mata Atlântica,0.0,0.0,0.84,0,8.3
-7.4199,-34.81507,2024-01-02 15:54:00,NOAA-20,Brasil,PARAÍBA,PITIMBU,Mata Atlântica,-999.0,0.0,0.66,0,4.3
-6.99958,-40.06666,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,ASSARÉ,Caatinga,3.0,1.51,0.47,0,8.7
-6.99873,-40.06469,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,ASSARÉ,Caatinga,3.0,1.49,0.57,0,5.8
-6.50364,-39.43755,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,CARIÚS,Caatinga,0.0,0.0,0.24,0,6.4
-6.15905,-39.91909,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,ARNEIROZ,Caatinga,0.0,0.3,0.19,0,10.1
-6.02126,-42.15539,2024-01-02 15:54:00,NOAA-20,Brasil,PIAUÍ,SÃO FÉLIX DO PIAUÍ,Caatinga,0.0,39.77,0.0,0,8.4
-6.0207,-42.15141,2024-01-02 15:54:00,NOAA-20,Brasil,PIAUÍ,SÃO FÉLIX DO PIAUÍ,Caatinga,0.0,39.51,0.0,0,12.1
-6.0193,-39.80586,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,ACOPIARA,Caatinga,0.0,0.2,0.33,0,15.0
-5.90021,-40.65975,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,TAUÁ,Caatinga,6.0,6.46,0.03,0,5.0
-5.89858,-40.66205,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,TAUÁ,Caatinga,6.0,6.41,0.03,0,5.2
-5.8184,-40.01807,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,TAUÁ,Caatinga,0.0,0.0,0.3,0,3.6
